id,Fermi_name,Counterpart_name,Bzcat5_name,Optical_Class,RA_J2000,Dec_J2000,Redshift,SED_Class,LogSyncZ,Probability_Bayesian,Reliability_LR_RG,Reliability_LR_XG,Significance,Flux_1to100GeV,Spectral_Index,Spectral_Type,Power_Law_Index,Radio_flux),X_Flux,USNOVmag,SDSSVmag,CLEAN
513,3FGL J0754.8+4824,GB1 0751+485,5BZBJ0754+4823,bll,07 54 45.67,+48 23 50.74,0.37671,LSP,13.839,1.0,0.92,0.87,18.5,1.1107831e-09,2.1427,PowerLaw,2.14,265.061,1.22e-12,17.0027,16.37,Y
514,3FGL J0756.3-6433,SUMSS J075625-643031,, bcu II,07 56 24.6,-64 30 30.47,0.0,HSP,15.867,1.0,0.0,0.0,7.79,5.043865900000001e-10,2.217,PowerLaw,2.22,13.0,0.0,18.0903,0.0,Y
515,3FGL J0757.0+0956,PKS 0754+100,5BZBJ0757+0956,bll,07 57 06.64,+09 56 34.85,0.266,LSP,13.492,1.0,0.97,0.91,24.47,1.8570876e-09,2.1819,PowerLaw,2.18,957.043,2.28e-12,16.5006,14.64,Y
516,3FGL J0758.1+1130,TXS 0755+117,, fsrq,07 58 07.65,+11 36 46.04,0.56879,LSP,13.620999999999999,0.97,0.84,0.0,4.94,3.116099e-10,2.1647,PowerLaw,2.16,468.4612,0.0,16.0266,16.87,Y
517,3FGL J0758.7+3747,NGC 2484,, rdg,07 58 28.1,+37 47 11.8,0.042839999999999996,ISP,14.618,0.99,0.96,0.0,4.56,2.5076041e-10,2.1556,PowerLaw,2.16,2721.8669,8.229999999999999e-13,9.1884,12.22,Y
518,3FGL J0758.9+2705,SDSS J075846.99+270515.5,5BZGJ0758+2705,bll,07 58 47.04,+27 05 14.99,0.099,ISP,14.390999999999998,1.0,0.0,0.0,8.26,4.6869553e-10,2.1324,PowerLaw,2.13,54.251000000000005,0.0,15.9558,16.43,Y
519,3FGL J0800.9+4401,B3 0757+441,5BZBJ0801+4401,bll,08 01 08.27,+44 01 10.15,0.0,LSP,13.46,0.99,0.84,0.0,8.23,4.2721562000000003e-10,2.3781,PowerLaw,2.38,228.7809,0.0,20.043,19.14,Y
520,3FGL J0802.0+1005,NVSS J080204+100639,5BZBJ0802+1006,bll,08 02 04.88,+10 06 39.57,0.84159,HSP,15.745,1.0,0.0,0.0,5.56,3.1233185e-10,2.1458,PowerLaw,2.15,6.6728,0.0,18.5868,16.78,Y
521,3FGL J0803.3-0339,TXS 0800-034,, bcu II,08 03 12.07,-03 36 00.65,0.0,HSP,15.7,1.0,0.81,0.0,14.48,9.9713837e-10,1.9963,PowerLaw,2.0,232.187,0.0,18.4626,0.0,Y
522,3FGL J0804.4+0418,MG1 J080357+0420,, bcu II,08 03 56.44,+04 21 02.73,0.0,LSP,12.875,0.93,0.0,0.0,4.69,2.5473848e-10,2.5663,PowerLaw,2.57,318.6829,0.0,18.6206,19.14,Y
523,3FGL J0805.0-0622,1RXS J080458.3-062432,, bcu II,08 04 57.72,-06 24 26.61,0.0,HSP,16.25,0.0,0.0,0.91,7.86,5.3050025e-10,1.895,PowerLaw,1.9,20.9715,7.61e-12,17.8525,0.0,Y
526,3FGL J0805.4+7534,RX J0805.4+7534,5BZBJ0805+7534,bll,08 05 26.64,+75 34 25.04,0.121,HSP,15.4,1.0,0.89,0.95,26.65,1.3967311e-09,1.9177,PowerLaw,1.92,52.721000000000004,7.099999999999999e-12,15.6328,0.0,Y
527,3FGL J0806.6+5933,SBS 0802+596,5BZBJ0806+5931,bll,08 06 25.94,+59 31 06.91,0.0,HSP,15.45,0.99,0.0,0.87,6.61,2.9624364e-10,1.8799,PowerLaw,1.88,61.0507,4.84e-12,16.1342,0.0,Y
528,3FGL J0807.1+7744,NVSS J080637+774607,, bcu II,08 06 37.4,+77 46 07.27,0.0,LSP,12.527000000000001,0.98,0.83,0.0,7.73,3.1569172000000003e-10,2.4361,PowerLaw,2.44,217.0468,0.0,20.48,0.0,Y
529,3FGL J0807.1-0541,PKS 0804-05,5BZBJ0807-0541,bll,08 07 09.61,-05 41 13.91,0.0,ISP,14.6,1.0,0.95,0.0,19.42,1.5899809e-09,2.0682,PowerLaw,2.07,545.4691,0.0,18.3784,0.0,Y
531,3FGL J0807.9+4946,SDSS J080754.50+494627.6,, fsrq,08 07 54.86,+49 46 28.19,0.57531,LSP,13.207,0.93,0.83,0.0,6.07,2.7505961e-10,2.5719,PowerLaw,2.57,385.5197,0.0,19.8395,17.7,N
535,3FGL J0809.6+3456,B2 0806+35,5BZGJ0809+3455,bll,08 09 38.88,+34 55 37.26,0.083,HSP,15.535,1.0,0.91,0.94,7.99,3.2113423e-10,1.669,PowerLaw,1.67,223.5246,9.880000000000002e-12,12.0327,15.07,Y
536,3FGL J0809.8+5218,1ES 0806+524,5BZBJ0809+5218,bll,08 09 49.18,+52 18 58.25,0.138,HSP,15.856,1.0,0.95,0.98,56.16,4.570714e-09,1.8761,PowerLaw,1.88,182.9421,1.7800000000000003e-11,15.0062,14.93,Y
537,3FGL J0811.2-7529,PMN J0810-7530,5BZBJ0811-7530,bll,08 11 03.2,-75 30 27.82,0.0,ISP,14.9,1.0,0.9,0.87,30.78,2.5058859e-09,1.9478,PowerLaw,1.95,154.3,1.31e-12,17.0801,0.0,Y
539,3FGL J0812.0+0237,PMN J0811+0237,, bll,08 12 01.51,+02 37 32.5,0.0,ISP,14.762,1.0,0.88,0.96,7.77,3.7444553e-10,1.7199,PowerLaw,1.72,123.4269,1.93e-11,0.0,16.21,Y
540,3FGL J0812.9+5555,NVSS J081251+555422,5BZBJ0812+5554,bll,08 12 51.62,+55 54 22.73,0.38299999999999995,HSP,15.520999999999999,1.0,0.0,0.0,5.64,2.6402575e-10,2.1109999999999998,PowerLaw,2.11,27.0102,0.0,18.3119,17.74,Y
541,3FGL J0813.3+6509,GB6 J0812+6508,5BZBJ0812+6509,bcu II,08 12 41.08,+65 09 11.05,0.0,HSP,16.25,0.96,0.0,0.0,4.44,2.5603009e-10,2.1966,PowerLaw,2.2,30.991,0.0,17.7951,17.13,Y
542,3FGL J0814.1-1012,NVSS J081411-101208,5BZBJ0814-1012,bll,08 14 11.69,-10 12 10.28,0.0,ISP,14.71,1.0,0.83,0.94,15.35,1.2790756e-09,2.0714,PowerLaw,2.07,36.8656,6.96e-12,16.6788,0.0,Y
544,3FGL J0814.7+6428,GB6 J0814+6431,5BZBJ0814+6431,bll,08 14 39.19,+64 31 22.02,0.239,LSP,13.517999999999999,0.92,0.0,0.0,26.67,1.7838511e-09,2.2969,PowerLaw,2.3,88.7846,0.0,17.1386,0.0,Y
545,3FGL J0816.4-1311,PMN J0816-1311,5BZBJ0816-1311,bll,08 16 27.2,-13 11 52.62,0.0,HSP,16.1,1.0,0.91,0.97,26.48,2.0329147e-09,1.7768,PowerLaw,1.78,72.126,2.4100000000000003e-11,17.5562,0.0,Y
546,3FGL J0816.5+2049,SDSS J081649.78+205106.4,5BZBJ0816+2051,bll,08 16 49.78,+20 51 06.43,0.0,ISP,14.82,0.99,0.0,0.0,4.4,2.5242611e-10,2.0312,PowerLaw,2.03,38.8192,0.0,17.3831,17.55,Y
547,3FGL J0816.7+5739,SBS 0812+578,5BZBJ0816+5739,bll,08 16 22.72,+57 39 09.13,0.0,HSP,15.08,0.96,0.81,0.87,19.97,1.1758022e-09,2.1128,PowerLaw,2.11,100.0655,3.68e-12,17.0374,16.7,Y
548,3FGL J0817.8-0935,TXS 0815-094,5BZBJ0817-0933,bll,08 17 49.74,-09 33 30.52,0.0,ISP,14.05,1.0,0.93,0.0,17.49,1.4174288e-09,2.0436,PowerLaw,2.04,467.6526,0.0,18.1804,0.0,Y
549,3FGL J0818.2+4223,S4 0814+42,5BZBJ0818+4222,bll,08 18 15.99,+42 22 45.41,0.53,LSP,12.985,1.0,0.97,0.86,67.44,6.3282335e-09,2.0061,LogParabola,2.11,1091.3367,7.85e-13,18.405,17.39,Y
550,3FGL J0818.8+2751,5C 07.119,5BZBJ0819+2747,bll,08 19 18.85,+27 47 30.68,0.0,LSP,13.355,0.95,0.0,0.0,5.76,2.9631012e-10,2.4633,PowerLaw,2.46,234.4567,0.0,19.0745,18.18,Y
551,3FGL J0820.4+3640,MG2 J082018+3640,5BZBJ0820+3640,bll,08 20 20.18,+36 40 04.46,0.0,LSP,13.445,0.99,0.0,0.0,6.86,3.7797016000000003e-10,2.2828,PowerLaw,2.28,94.3828,0.0,18.7898,18.25,Y
552,3FGL J0820.9-1258,PKS 0818-128,5BZBJ0820-1258,bll,08 20 57.44,-12 58 59.16,0.0,ISP,14.72,1.0,0.94,0.83,4.11,2.6950402999999996e-10,2.2719,PowerLaw,2.27,1096.6061,2.34e-12,16.395,0.0,Y
553,3FGL J0822.9+4041,B3 0819+408,5BZQJ0822+4041,fsrq,08 22 57.55,+40 41 49.76,0.8655,LSP,13.345999999999998,1.0,0.89,0.0,7.91,4.3391612999999996e-10,2.4888,PowerLaw,2.49,344.9743,0.0,19.4123,18.75,Y
556,3FGL J0824.9+3916,4C +39.23B,, css,08 25 23.68,+39 19 45.74,0.0,-,0.0,0.0,0.92,0.0,9.17,4.6582938e-10,2.4449,PowerLaw,2.44,1199.1982,0.0,0.0,0.0,N
558,3FGL J0825.4-0213,PMN J0825-0204,, bcu III,08 25 17.08,-02 04 42.7,0.0,-,0.0,0.92,0.0,0.0,4.19,2.7858646e-10,2.4012,PowerLaw,2.4,106.175,0.0,0.0,0.0,Y
559,3FGL J0826.0+0307,PKS 0823+033,5BZBJ0825+0309,bll,08 25 50.33,+03 09 24.51,0.506,LSP,13.183,1.0,0.94,0.82,8.33,5.2568955e-10,2.0297,PowerLaw,2.03,1400.7393,3.39e-12,15.4202,15.46,Y
560,3FGL J0827.2-0711,PMN J0827-0708,, bcu I,08 27 06.1,-07 08 46.55,0.247,HSP,16.180999999999997,0.99,0.84,0.88,8.26,4.988091599999999e-10,2.0672,PowerLaw,2.07,174.1393,6.55e-12,15.931,0.0,Y
561,3FGL J0828.5+5217,TXS 0824+524,, fsrq,08 27 53.69,+52 17 58.29,0.33762,LSP,13.690999999999999,0.96,0.8,0.0,4.17,2.0667944e-10,2.1311,PowerLaw,2.13,278.8811,0.0,18.9182,17.93,Y
562,3FGL J0829.3+0901,TXS 0826+091,, fsrq,08 29 30.31,+08 58 21.28,0.866,LSP,13.647,0.0,0.86,0.0,4.18,2.3341262e-10,1.9475,PowerLaw,1.95,334.5056,0.0,0.0,19.58,Y
563,3FGL J0829.6-1137,NVSS J082939-114103,, bcu II,08 29 39.16,-11 41 03.57,0.0,ISP,14.16,0.99,0.0,0.0,5.7,3.1627997000000004e-10,1.8896,PowerLaw,1.89,51.1875,0.0,18.3452,0.0,Y
564,3FGL J0830.3-5855,PMN J0829-5856,, bcu III,08 29 31.17,-58 56 00.7,0.0,-,0.0,0.97,0.0,0.0,9.25,5.753350599999999e-10,2.6083,PowerLaw,2.61,44.7,0.0,16.3926,0.0,Y
565,3FGL J0830.7+2408,OJ 248,5BZQJ0830+2410,fsrq,08 30 52.08,+24 10 59.82,0.9390000000000001,LSP,12.818,1.0,0.92,0.84,21.3,1.092615e-09,2.6269,PowerLaw,2.63,739.2463,2.9300000000000002e-12,17.2102,16.93,Y
566,3FGL J0831.9+0430,PKS 0829+046,5BZBJ0831+0429,bll,08 31 48.87,+04 29 39.08,0.174,LSP,13.71,0.99,0.94,0.0,42.28,3.3881666e-09,2.0969,LogParabola,2.24,1241.8719,0.0,14.6521,14.77,Y
567,3FGL J0832.6+4914,OJ 448,5BZBJ0832+4913,bll,08 32 23.21,+49 13 21.03,0.0,LSP,12.9,0.99,0.86,0.0,4.21,2.0966126e-10,2.3634,PowerLaw,2.36,344.5103,0.0,18.5182,18.35,Y
568,3FGL J0834.1+4223,OJ 451,5BZQJ0833+4224,fsrq,08 33 53.88,+42 24 01.85,0.24906999999999999,ISP,14.037,1.0,0.87,0.0,13.56,6.773338e-10,2.4393,PowerLaw,2.44,249.2511,0.0,16.9051,16.3,Y
569,3FGL J0834.7+4403,B3 0831+442,5BZBJ0834+4403,bll,08 34 58.2,+44 03 38.14,0.0,LSP,13.84,0.99,0.84,0.0,6.12,2.8974323e-10,2.2174,PowerLaw,2.22,148.5808,0.0,19.4646,17.39,Y
570,3FGL J0835.4+0930,GB6 J0835+0936,5BZBJ0835+0937,bll,08 35 43.21,+09 37 17.97,0.0,ISP,14.345,0.93,0.0,0.0,4.96,3.0156089e-10,2.289,PowerLaw,2.29,81.0818,0.0,19.4652,17.68,Y
